Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Сборщик мебели (деревянной),Производство,от 103 500 тенге,ИП Бейсен Маратбек,Вакансия опубликована 11.01.2023,Адреса нет,полный день,Проектная работа,Сборка и разборка мебели;,https://enbek.kz/ru/vacancy/sborshchik-mebeli-(derevyannoi)~2826969,Молодежная практика,Сервисное обслуживание/производство
Режиссер-постановщик,Культура и спорт,от 103 500 тенге,"Центр Детской Индустрии ""ТуК"" 3Д",Вакансия опубликована 11.01.2023,Адреса нет,полный день,Проектная работа,Разработка режиссерских сценариев (экспликаций) совместно с коллегами;,https://enbek.kz/ru/vacancy/rezhisser-postanovshchik~2827041,Первое рабочее место,
Педагог-организатор,Образование и воспитание,от 103 500 тенге,"Центр Детской Индустрии ""ТуК"" 3Д",Вакансия опубликована 11.01.2023,Адреса нет,полный день,Проектная работа,Проведение занятия для творческого развития детей;,https://enbek.kz/ru/vacancy/pedagog-organizator~2827042,Первое рабочее место,
Художник,Культура и спорт,от 103 500 тенге,"Центр Детской Индустрии ""ТуК"" 3Д",Вакансия опубликована 11.01.2023,Адреса нет,полный день,Проектная работа,Работа в творческом коллективе с художником;,https://enbek.kz/ru/vacancy/khudozhnik~2827043,Первое рабочее место,
Режиссер-постановщик,Культура и спорт,от 103 500 тенге,"Центр Детской Индустрии ""ТуК"" 3Д",Вакансия опубликована 11.01.2023,Адреса нет,полный день,Проектная работа,Разработка режиссерских сценариев (экспликаций) совместно с коллегами;,https://enbek.kz/ru/vacancy/rezhisser-postanovshchik~2827047,Молодежная практика,
Педагог-организатор,Образование и воспитание,от 103 500 тенге,"Центр Детской Индустрии ""ТуК"" 3Д",Вакансия опубликована 11.01.2023,Адреса нет,полный день,Проектная работа,Проведение занятия для творческого развития детей;,https://enbek.kz/ru/vacancy/pedagog-organizator~2827048,Молодежная практика,
Художник,Культура и спорт,от 103 500 тенге,"Центр Детской Индустрии ""ТуК"" 3Д",Вакансия опубликована 11.01.2023,Адреса нет,полный день,Проектная работа,Работа в творческом коллективе с художником;,https://enbek.kz/ru/vacancy/khudozhnik~2827049,Молодежная практика,
Врач-стоматолог,Медицина и фармацевтика,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Ортопедия""",Вакансия опубликована 10.01.2023,Адреса нет,полный день,Проектная работа,Оказание лечебно-профилактической помощи;,https://enbek.kz/ru/vacancy/vrach-stomatolog~2833693,Молодежная практика,Медицина
Медицинская(ий) сестра/брат,Медицина и фармацевтика,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Ортопедия""",Вакансия опубликована 10.01.2023,Адреса нет,полный день,Проектная работа,Подготовка пациента к стоматологическому приему;,https://enbek.kz/ru/vacancy/medicinskaya(ii)-sestra-brat~2833694,Молодежная практика,Медицина
Тренер-преподаватель по спорту,Культура и спорт,от 103 500 тенге,"Коммунальное государственное казенное предприятие ""Специализированная детско-юношеская школа олимпийского резерва города Темиртау"" Управления физической культуры и спорта Карагандинской области",Вакансия опубликована 10.01.2023,Адреса нет,полный день,Проектная работа,Соблюдение правил внутреннего распорядка;,https://enbek.kz/ru/vacancy/trener-prepodavatel-po-sportu~2830705,Молодежная практика,
SMM-менеджер,Маркетинг и СМИ,от 103 500 тенге,"Частное учреждение ""ТАБЫС-АВТО""",Вакансия опубликована 10.01.2023,Адреса нет,полный день,Проектная работа,Умение продвигать товары и услуги;,https://enbek.kz/ru/vacancy/smm-menedzher~2821647,Молодежная практика,Журналистика
Юрисконсульт,Юриспруденция,от 103 500 тенге,Частный судебный исполнитель Гиорбелидзе Александр Придонович,Вакансия опубликована 10.01.2023,Адреса нет,полный день,Проектная работа,Оказание правовой помощи в составлении юридических документов;,https://enbek.kz/ru/vacancy/yuriskonsult~2821998,Молодежная практика,Юриспруденция
