Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Специалист по подбору персонала (Рекрутер),40,з/п не указана,не требуется,ТОО FSSA,Вакансия опубликована 13 мая 2023 в Уральске,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Грамотная речь;Работа в команде;Грамотность;Recruitment;проведение интервью;Проведение телефонных интервью;Подбор персонала;Поиск персонала в открытых источниках;Умение расставлять приоритеты;,https://almaty.hh.kz/vacancy/80385788
Менеджер по обслуживанию физических лиц,57,з/п не указана,не требуется,АО Jusan Bank,Вакансия опубликована 22 мая 2023 в Уральске,Алматы,полный день,"Полная занятость, полный день",Планирование карьеры;Навыки продаж;Клиентоориентированность;Пользователь ПК;Грамотность;Деловая этика;Деловая переписка;Деловое общение;Работа в команде;Продажи физическим лицам;Консультирование клиентов;работа с физическими лицами;,https://almaty.hh.kz/vacancy/77544951
Специалист по организации мероприятий,1,з/п не указана,не требуется,"ТОО “QSR” ,ТМ BURGER KING",Вакансия опубликована 16 мая 2023 в Уральске,Алматы,гибкий график,"Частичная занятость, гибкий график",E9,https://almaty.hh.kz/vacancy/78583653
"IT-наставник для детей по разработке игр (Minecraft, Roblox)",96,до 80 000 руб. на руки,не требуется,Skyeng,Вакансия опубликована 10 мая 2023 в Уральске,Алматы,удаленная работа,"Частичная занятость, удаленная работа",Разработка компьютерных Игр;Minecraft;Roblox;Программирование для детей;Преподаватель;Преподавание;Обучение;,https://almaty.hh.kz/vacancy/80255604
Тайный покупатель,40,з/п не указана,не требуется,ТОО Staff-UP Consulting Group,Вакансия опубликована 10 мая 2023 в Уральске,Алматы,полный день,"Проектная работа/разовое задание, полный день",Пользователь ПК;Телефонные переговоры;Ответственность;Аудит;Умение принимать решения;,https://almaty.hh.kz/vacancy/80239875
"Уборщица/уборщик (техничка/техник) в магазин ZETA, Уральск",40,от 130 000 KZT на руки,не требуется,"ТОО Дельта Капитал, ТОО",Вакансия опубликована 7 мая 2023 в Уральске,"Уральск, Московская улица, 4",полный день,"Полная занятость, полный день",Работа в команде;Грамотная речь;Грамотность;,https://almaty.hh.kz/vacancy/80130872
Специалист-оценщик в ломбард,40,от 160 000 до 160 000 KZT до вычета налогов,не требуется,ТОО М-Ломбард,Вакансия опубликована 26 мая 2023 в Уральске,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Грамотная речь;Обучение персонала;Ориентация на результат;Умение работать в команде;Клиентоориентированность;Пользователь ПК;,https://almaty.hh.kz/vacancy/79453916
Машинист автогрейдера,63,з/п не указана,не требуется,ТОО UNISERV,Вакансия опубликована 16 мая 2023 в Уральске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79510035
Электрогазосварщик,109,от 88 000 до 114 000 руб. на руки,не требуется,ЗАО ЭнергоСтрой,Вакансия опубликована 2 мая 2023 в Уральске,Алматы,полный день,"Полная занятость, полный день",Сварочные работы;Производство строительно-монтажных работ;Монтаж металлоконструкций;Слесарные работы;Строительство;,https://almaty.hh.kz/vacancy/78247882
Оператор АСУ по производству Профнастила и Металлочерепицы,85,от 150 000 KZT на руки,не требуется,ТОО Уральская торгово-промышленная компания,Вакансия опубликована 11 мая 2023 в Уральске,"Уральск, улица Штыбы, 68",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80282389
Торговый представитель (Дистрибьюция стройматериалов),129,з/п не указана,не требуется,ТОО Строй Сервис Плюс,Вакансия опубликована 18 мая 2023 в Уральске,"Уральск, улица Чапаева, 20",полный день,"Полная занятость, полный день",Навыки продаж;Прямые продажи;Поиск и привлечение клиентов;Развитие продаж;,https://almaty.hh.kz/vacancy/79779033
Оператор цеха розлива,85,до 150 000 KZT на руки,не требуется,ТОО Нуржанар,Вакансия опубликована 10 мая 2023 в Уральске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80245756
Заведующий складом на комплектующие,18,от 140 000 KZT до вычета налогов,не требуется,ТОО A.Priori,Вакансия опубликована 12 мая 2023 в Уральске,"Уральск, Полевая улица, 5",полный день,"Полная занятость, полный день",Пользователь ПК;Складской Учет;Ответственное хранение;Документальное сопровождение;Проведение инвентаризаций;Ведение документации;Точность и внимательность к деталям;,https://almaty.hh.kz/vacancy/80332154
Моторист цементировочного агрегата,63,от 132 000 до 136 000 руб. на руки,не требуется,ООО МегРусНефть,Вакансия опубликована 29 апреля 2023 в Уральске,"Мегион, Новая улица, 43",Вахтовый метод,"Полная занятость, Вахтовый метод",E9,https://almaty.hh.kz/vacancy/78770863
Технолог на рыбное производство,49,з/п не указана,не требуется,Филиал ТОО Бонус Корпорэйшн в г. Нур-Султан,Вакансия опубликована 22 мая 2023 в Уральске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80105930
Оператор станка доборных элементов,85,от 130 000 KZT на руки,не требуется,ТОО Уральская торгово-промышленная компания,Вакансия опубликована 11 мая 2023 в Уральске,"Уральск, улица Штыбы, 68",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80282329
Врач-стоматолог,40,от 300 000 KZT на руки,не требуется,ИП Alshin Dent,Вакансия опубликована 26 мая 2023 в Уральске,Алматы,гибкий график,"Полная занятость, гибкий график",Пользователь ПК;Работа в команде;Умение работать в команде;Ведение документации;Работа с оргтехникой;,https://almaty.hh.kz/vacancy/79972227
