Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Стажер в коммерческий отдел,40,от 80 000 KZT на руки,ТОО Назик,Вакансия опубликована 22 мая 2023 в Алматы,"Алматы, улица Масанчи, 23",гибкий график,Частичная занятость,E9,https://almaty.hh.kz/vacancy/80787945,,
Finance Controller,136,з/п не указана,ТОО Маревен Фуд Тянь-Шань,Вакансия опубликована 10 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Экономический анализ;Анализ себестоимости;Расчет и анализ себестоимости продукции и услуг;Анализ Оборачиваемости Запасов;Бюджетирование;Финансовый анализ;Анализ данных;Аналитические исследования;,https://almaty.hh.kz/vacancy/80235548,,
Мастер по ремонту электросамокатов,111,от 220 000 до 300 000 KZT на руки,ТОО Jet Sharing,Вакансия опубликована 25 мая 2023 в Алматы,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/79724667,,Сервисное обслуживание/производство
Чекер-Аудитор-Мерчендайзер,129,от 120 000 до 150 000 KZT на руки,ТОО RD Trade,Вакансия опубликована 1 мая 2023 в Алматы,"Алматы, микрорайон Айгерим-1, Пригородная улица, 25",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/79949738,,
"Торговый представитель, Напитки ВС, В+",129,от 120 000 до 600 000 KZT на руки,ТОО DSB FOOD,Вакансия опубликована 29 мая 2023 в Алматы,"Алматы, Алатау, Театр имени Ауэзова, улица Нурмакова, 1А",полный день,Полная занятость,работа с текущей базой клиентов;Продажи;Управление временем;Продажи физическим лицам;Умение планировать;Навыки ведения переговоров;Работа с возражениями;Опыт продаж;Современная розница;Работа в команде;Ведение переговоров;Развитие продаж;Мерчендайзинг;Планирование продаж;,https://almaty.hh.kz/vacancy/80185907,,
Менеджер по привлечению партнеров,40,з/п не указана,Яндекс,Вакансия опубликована 19 мая 2023 в Алматы,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/79669388,,
Лаборант химического анализа,168,до 170 000 KZT на руки,ТОО Эфко Алматы,Вакансия опубликована 3 мая 2023 в Алматы,"Алматы, улица Бекмаханова, 96/6",сменный график,Полная занятость,Работа в команде;Работа с документами;оформление документации;Работа с оргтехникой;Навыки работы с первичной документацией;,https://almaty.hh.kz/vacancy/80038517,,Наука
Стажер в отдел по кадровому делопроизводству,117,з/п не указана,ТОО СберРешения,Вакансия опубликована 23 мая 2023 в Алматы,"Алматы, Байконур, Театр имени Ауэзова, проспект Абая, 52к2",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80883329,,Менеджмент
Финансовый контролер по проектам,165,з/п не указана,"AIR ASTANA, АО",Вакансия опубликована 2 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Python;Power BI;VBA;Аналитическое мышление;Генерация идей;,https://almaty.hh.kz/vacancy/79974692,,IT
Мерчендайзер,77,от 150 000 до 210 000 KZT на руки,АО ПРОГРЕСС,Вакансия опубликована 10 мая 2023 в Алматы,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/47900454,,
