Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Юрист,146,от 240 000 KZT на руки,не требуется,ТОО Правовые Партнеры,Вакансия опубликована 25 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80080627
Менеджер по взысканию задолженности,40,от 250 000 KZT до вычета налогов,не требуется,АО «Bank Freedom Finance Kazakhstan»,Вакансия опубликована 10 мая 2023 в Астане,"Астана, проспект Бауыржана Момышулы, 22/14",полный день,"Полная занятость, полный день",Пользователь ПК;Грамотная речь;Грамотность;Умение расставлять приоритеты;Взыскание долгов;,https://almaty.hh.kz/vacancy/80247707
Администратор на ресепшен,8,от 150 000 KZT на руки,не требуется,ТОО Микрофинансовая организация «R-Finance»,Вакансия опубликована 5 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Грамотная речь;Прием и распределение телефонных звонков;Работа в команде;Деловое общение;Офисная техника;Прием посетителей;Обеспечение жизнедеятельности офиса;Грамотная устная и письменная речь;Управление курьерской службой;,https://almaty.hh.kz/vacancy/80157646
Санитарка/Санитар,40,от 129 000 до 130 000 KZT на руки,не требуется,ТОО Family Clinic,Вакансия опубликована 11 мая 2023 в Астане,"Астана, улица Сакена Сейфуллина, 34Б",полный день,"Частичная занятость, полный день",Пользователь ПК;Умение работать в команде;Навыки межличностного общения;Google Chrome;Работа с оргтехникой;,https://almaty.hh.kz/vacancy/80289934
Менеджер по продажам со знанием турецкого языка,93,от 260 000 до 1 000 000 KZT на руки,не требуется,ТОО MILESTONE LTD,Вакансия опубликована 26 мая 2023 в Астане,"Нур-Султан (Астана), улица Достык, 18",полный день,"Полная занятость, полный день",Активные продажи;Деловое общение;Поиск и привлечение клиентов;Навыки продаж;Развитие продаж;телефонные продажи;Турецкий — B1 — Средний;,https://almaty.hh.kz/vacancy/53826958
Операционный специалист ссылка для резюме https://smrtr.io/dsL5r,40,з/п не указана,не требуется,Nazarbayev University,Вакансия опубликована 10 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Электронный документооборот;Бумажный документооборот;Организация хранения документации;MS PowerPoint;Организация движения и учета документов;регистрация документации;Архивирование;Внутренняя документация;Ведение архива;входящая документация;Передача документации на исполнение;Документооборот;Деловая переписка;Деловая корреспонденция;Исходящая документация;Английский язык;Автоматизация документооборота;Делопроизводство;Грамотная устная и письменная речь;Ведение деловой переписки;,https://almaty.hh.kz/vacancy/80243476
Логист-аналитик,10,з/п не указана,не требуется,"ТОО Олимп КДЛ, ТМ (ТОО Мырза Хан)",Вакансия опубликована 2 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79963650
Специалист по работе с документацией,33,от 120 000 KZT на руки,не требуется,ИП Ego Sum Lex,Вакансия опубликована 14 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Составление договоров;Пользователь ПК;Грамотная речь;Составление исков;Работа с возражениями;Работа с претензиями;Телефонные переговоры;,https://almaty.hh.kz/vacancy/79318360
Инженер по планированию вертолетов российского производства,40,от 350 000 до 350 000 KZT до вычета налогов,не требуется,"Казавиаспас, АО",Вакансия опубликована 5 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",оформление документации;Работа с документами;,https://almaty.hh.kz/vacancy/80154490
Слесарь механосборочных работ,5,з/п не указана,не требуется,ТОО CT Agro,Вакансия опубликована 27 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Водительское удостоверение категории B;Навыки продаж;Клиентоориентированность;Управление отношениями с клиентами;Умение работать в команде;,https://almaty.hh.kz/vacancy/80636361
Врач - педиатр,24,з/п не указана,не требуется,Корпоративный фонд University Medical Center,Вакансия опубликована 15 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Английский — C1 — Продвинутый;,https://almaty.hh.kz/vacancy/80434687
"Ведущий Торговый представитель категории В, С",129,от 250 000 до 350 000 KZT на руки,не требуется,ТОО СМАГУЛОВА ЗУЛЬФИЯ МУКАНОВНА,Вакансия опубликована 28 мая 2023 в Астане,"Нур-Султан (Астана), проспект Республики",полный день,"Полная занятость, полный день",Обслуживание покупателей;Русский — A1 — Начальный;,https://almaty.hh.kz/vacancy/80999719
