Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Грузчик на склад,40,до 150 000 KZT на руки,не требуется,ТОО UNIVERSALTRANSLOGISTICS (УНИВЕРСАЛ ТРАНСЛОГИСТИКС),Вакансия опубликована 11 мая 2023 в Алматы,"Алматы, улица Рыскулова, 72",полный день,"Полная занятость, полный день",Пользователь ПК;Работа в команде;Умение работать в команде;Точность и внимательность к деталям;Материальная ответственность;,https://almaty.hh.kz/vacancy/80310953
Парикмахер-универсал,92,от 150 000 KZT на руки,не требуется,ИП ANGEL WINGS 2023,Вакансия опубликована 30 апреля 2023 в Алматы,"Алматы, Наурызбайский район, микрорайон Калкаман, 5/1",полный день,"Полная занятость, полный день",Стрижка;Укладка волос;покраска волос;Женские стрижки;Мужские стрижки;,https://almaty.hh.kz/vacancy/79948504
Грузчик на Торговый зал,40,от 190 000 до 190 000 KZT на руки,не требуется,ТОО Alina Group,Вакансия опубликована 4 мая 2023 в Алматы,"Алматы, улица Казыбаева, 20",полный день,"Полная занятость, полный день",Военный билет;,https://almaty.hh.kz/vacancy/80075518
Монтажник слаботочных систем,78,от 150 000 KZT на руки,не требуется,ТОО КSМ GRОUР,Вакансия опубликована 26 мая 2023 в Алматы,Алматы,гибкий график,"Полная занятость, гибкий график",Готовность к командировкам;Способность работать в режиме многозадачности;Умение быстро усваивать новую информацию;Технический склад ума;Высокая трудоспособность;Стремление;,https://almaty.hh.kz/vacancy/78758530
Специалист по работе на термопластоавтомате,40,з/п не указана,не требуется,ТОО Эйкос,Вакансия опубликована 18 мая 2023 в Алматы,"поселок 71-й Разъезд, улица Кенжина",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80659133
Пекарь,40,от 155 000 до 160 000 KZT на руки,не требуется,ТОО Vesta-L-Food Pastry Manufacturing,Вакансия опубликована 19 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80686236
Специалист по взысканию задолженности,147,от 150 000 до 1 000 000 KZT на руки,не требуется,ТОО Коллекторское агентство Финансовой и правовой безопасности,Вакансия опубликована 17 мая 2023 в Алматы,"Алматы, микрорайон Мамыр-4, 197А",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80572440
Мастер по ремонту оборудования,111,от 150 000 KZT на руки,не требуется,ТОО Building Stroy 2018,Вакансия опубликована 20 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Работа в команде;Умение работать в команде;Казахский — A1 — Начальный;Русский — A1 — Начальный;,https://almaty.hh.kz/vacancy/79656099
Менеджер по взысканию долгов,40,от 100 000 до 1 000 000 KZT до вычета налогов,не требуется,ТОО Коллекторское агентство CreditKontakt,Вакансия опубликована 5 мая 2023 в Алматы,"Алматы, Алатау, Сайран, проспект Абая, 151",полный день,"Полная занятость, полный день",Ведение переговоров;Заключение договоров;Телефонные переговоры;Работа с базами данных;Умение работать в коллективе;,https://almaty.hh.kz/vacancy/80133221
Помощник сварщика в мебельный цех,109,от 150 000 до 200 000 KZT на руки,не требуется,ТОО Мягкая жизнь,Вакансия опубликована 19 мая 2023 в Алматы,"Алматы, Райымбек батыра, проспект Райымбека, 92",полный день,"Полная занятость, полный день",Работа в команде;Ориентация на результат;Умение работать в команде;Умение работать с инструментами;Сварочные работы;Русский — C1 — Продвинутый;,https://almaty.hh.kz/vacancy/80709581
