Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Бухгалтер-оператор,18,от 170 000 KZT на руки,ТОО Фудгарант,Вакансия опубликована 13 мая 2023 в Караганде,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80382899,,Финансы
Спортивный журналист,41,от 220 000 до 220 000 KZT до вычета налогов,ТОО СИА Sports.kz,Вакансия опубликована 26 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Пользователь ПК;Грамотность;Поиск информации в интернет;MS Access;Русский язык;Пунктуальность;,https://almaty.hh.kz/vacancy/37436199,,Журналистика
Эксперт-оценщик,40,от 150 000 до 250 000 KZT на руки,ТОО Ломбард «Евразия»,Вакансия опубликована 6 мая 2023 в Караганде,"Караганда, проспект Бухар Жырау, 75",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80175721,,
Оператор-дозатор сыпучих продуктов питания,40,от 180 000 до 190 000 KZT до вычета налогов,ТОО Людмила-KZ TM Аян,Вакансия опубликована 23 мая 2023 в Караганде,Алматы,сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/80855814,,
Монтажник,78,от 150 000 до 300 000 KZT до вычета налогов,"ИП Print Shop, ТМ (Черемухина, ИП)",Вакансия опубликована 15 мая 2023 в Караганде,"Караганда, улица Полетаева, 13",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80407272,,
Сотрудник Павильона,40,от 140 000 KZT до вычета налогов,ТОО BURЖУЙ,Вакансия опубликована 27 мая 2023 в Караганде,Алматы,полный день,Полная занятость,фаст-фуд;Желание обучаться;Стремление развиваться;,https://almaty.hh.kz/vacancy/80362578,,
Рекрутер,118,от 180 000 до 200 000 KZT на руки,ТОО Алып-2008,Вакансия опубликована 23 мая 2023 в Караганде,"Караганда, микрорайон Степной-3, 3Б",полный день,Полная занятость,Телефонные переговоры;Грамотная речь;Навыки работы с возражениями;Проведение собеседований;Уверенное знание ПК;Грамотная письменная речь;Желание работать и развиваться;Составление планов по подбору;Поиск информации в интернет;Анализ текущей ситуации;,https://almaty.hh.kz/vacancy/80891049,,Менеджмент
Администратор \ повар в офис,40,от 200 000 KZT до вычета налогов,ТОО Common Market Corporation,Вакансия опубликована 17 мая 2023 в Караганде,Алматы,полный день,Частичная занятость,Общественное питание;Умение работать в команде;,https://almaty.hh.kz/vacancy/79160651,,
Техник,113,з/п не указана,АО Алма Телекоммуникейшнс Казахстан ( ТМ АЛМА-ТВ),Вакансия опубликована 22 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Работа в команде;Грамотность;Планирование карьеры;Сервис;,https://almaty.hh.kz/vacancy/80827704,,IT
Оператор 1C на склад,39,до 150 000 KZT до вычета налогов,ТОО VozoVoz Казахстан,Вакансия опубликована 18 мая 2023 в Караганде,"Караганда, проспект Бухар Жырау, 81/1",полный день,Полная занятость,"Работа с оргтехникой;Ведение архива;Пользователь ПК;Коммуникабельность, ответственность;",https://almaty.hh.kz/vacancy/80633896,,
Консультант службы технической поддержки,121,з/п не указана,ТОО Холдинг Самгау,Вакансия опубликована 8 мая 2023 в Караганде,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80187901,,
Интернет-маркетолог,68,от 150 000 до 200 000 KZT на руки,ТОО Сириус Авто,Вакансия опубликована 27 мая 2023 в Караганде,"Караганда, Стартовый переулок, 61А",полный день,Полная занятость,Контекстная реклама;SEO оптимизация;Ведение групп в социальных сетях;Google AdWords;Казахский — A1 — Начальный;Английский — A1 — Начальный;,https://almaty.hh.kz/vacancy/80412339,,Менеджмент
Мерчендайзер,77,до 180 000 KZT до вычета налогов,ТОО ПАКТ,Вакансия опубликована 28 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Линейная выкладка товара;Работа в команде;Умение работать в команде;Грамотная речь;,https://almaty.hh.kz/vacancy/79953307,,
Оператор склада,84,до 190 000 KZT на руки,"ТОО Компания СтройДекор, ТМ",Вакансия опубликована 27 мая 2023 в Караганде,"Караганда, Бытовая улица, 23",полный день,Полная занятость,Знание программы 1С;Способность к обучению и восприятию информации;Битрикс 24;Опытный пользователь ПК;Работа в Excel;Работа с накладными;Работа в условиях многозадачности;Работа с компьютером;Желание работать и зарабатывать;,https://almaty.hh.kz/vacancy/80350200,,IT
Санитарка (Санитар) / Уборщик помещений,40,от 100 000 KZT на руки,ТОО Клинико-диагностический реабилитационный центр SANAD,Вакансия опубликована 28 мая 2023 в Караганде,"Караганда, улица Кривогуза, 41",полный день,Полная занятость,Пользователь ПК;Умение работать в команде;Электронная почта;Turbo Pascal;Работа с людьми;,https://almaty.hh.kz/vacancy/80993986,,
Медицинский представитель,65,от 200 000 до 500 000 KZT на руки,ТОО Новатор Фарма,Вакансия опубликована 25 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Навыки продаж;Коммуникативные навыки;Навыки презентации;Работа в команде;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/80996290,,Медицина
Мерчендайзер по работе с ключевыми клиентами (супермаркетами),77,от 190 000 KZT на руки,ТОО Рахат-Караганда,Вакансия опубликована 15 мая 2023 в Караганде,"Караганда, улица Молокова, 104/2",полный день,Полная занятость,Работа в команде;Контроль сроков годности;Коммуникация;Мерчандайзинг;Мобильный мерчандайзинг;Выкладка товаров;,https://almaty.hh.kz/vacancy/80431591,,
