Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Менеджер по туризму,72,от 200 000 до 1 500 000 KZT на руки,не требуется,ТОО ПСН Арбат,Вакансия опубликована 29 мая 2023 в Алматы,"Алматы, Жибек Жолы, улица Наурызбай Батыра, 50",полный день,Полная занятость,Навыки продаж;Деловая переписка;Ведение активных клиентов;телефонные продажи;Умение организовать работу;Лояльность;Ответственность и пунктуальность;Высокая трудоспособность;умение организовывать работу и планировать выполнение задач;Достижение результата;Сосредоточенность;Желание работать и развиваться;Продажи физическим лицам;Прямые продажи;Телефонные переговоры;,https://almaty.hh.kz/vacancy/81206465,,
Оператор 1С,84,от 150 000 до 300 000 KZT на руки,не требуется,ТОО Feed Trade,Вакансия опубликована 29 мая 2023 в Алматы,"Алматы, проспект Райымбека, 221А/4",полный день,Полная занятость,Пользователь ПК;Работа с оргтехникой;Деловое общение;Обеспечение жизнедеятельности офиса;Грамотность;Знание 1С;Организация рабочего процесса;Высшее образование;Работа с договорами;Работа в условиях многозадачности;,https://almaty.hh.kz/vacancy/81225452,,IT
Рабочий на производство,85,от 150 000 до 350 000 KZT до вычета налогов,не требуется,ТОО Sky Industrial Group,Вакансия опубликована 29 мая 2023 в Алматы,"село Байсерке, улица Султана Бейбарса, 1",полный день,Полная занятость,Телефонные переговоры;Работа в команде;Творческое мышление;Точность и внимательность к деталям;,https://almaty.hh.kz/vacancy/81219026,,Сервисное обслуживание/производство
Торговый представитель категория В С (кондитерские изделия),129,от 300 000 руб. на руки,не требуется,ТОО Resurs Group,Вакансия опубликована 25 мая 2023 в Алматы,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81050807,,
Специалист по качеству Поиска со знанием казахского языка,40,от 30 000 руб. на руки,не требуется,Яндекс Крауд,Вакансия опубликована 29 мая 2023 в Алматы,Алматы,удаленная работа,Частичная занятость,E9,https://almaty.hh.kz/vacancy/79890393,,
Менеджер по продажам логистических услуг,67,от 200 000 KZT на руки,не требуется,ТОО SINO RAILWAY TRANSPORT (ALMATY) LLP,Вакансия опубликована 23 мая 2023 в Алматы,"Алматы, Алатау, Байконур, Театр имени Ауэзова, улица Ауэзова, 82",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80918142,,
Риэлтор / Специалист по работе с клиентами,40,от 500 000 до 2 500 000 KZT на руки,не требуется,ИП Avenue (ТАНАТАРОВ А.М),Вакансия опубликована 24 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Планирование продаж Грамотная речь Работа в команде Организаторские навыки Ведение переговоров;,https://almaty.hh.kz/vacancy/79915370,,
Ведущий специалист отдела продаж,54,от 300 000 до 700 000 KZT на руки,не требуется,Quickcall,Вакансия опубликована 23 мая 2023 в Алматы,Алматы,сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/67492735,,Менеджмент
Junior Product-менеджер/стажер (Kolesa Academy),73,от 200 000 до 200 000 KZT на руки,не требуется,АО Колеса,Вакансия опубликована 29 мая 2023 в Алматы,Алматы,полный день,Стажировка,Управление проектами;Product Management;Работа в команде;Лидерство;Умение принимать решения;,https://almaty.hh.kz/vacancy/81235522,,Менеджмент
Дезинфектор,40,от 500 000 до 1 000 000 KZT на руки,не требуется,ООО Домин,Вакансия опубликована 29 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Мобильность;Ответственность и пунктуальность;,https://almaty.hh.kz/vacancy/81228138,,
Начинающий аналитик,10,з/п не указана,не требуется,АО TECHNODOM Operator (Технодом Оператор),Вакансия опубликована 29 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Статистика;Анализ данных;Power BI;Excel;,https://almaty.hh.kz/vacancy/81203031,,IT
Junior Python Developer,96,з/п не указана,не требуется,ТОО AVIATA.KZ,Вакансия опубликована 28 мая 2023 в Алматы,"Алматы, проспект Гагарина, 124",полный день,Полная занятость,Python;Linux;Английский — A1 — Начальный;,https://almaty.hh.kz/vacancy/80695503,,IT
Администратор по ватсапу,8,от 400 000 до 460 000 KZT до вычета налогов,не требуется,ТОО PBM Grand Market,Вакансия опубликована 10 мая 2023 в Алматы,Алматы,полный день,Полная занятость,Грамотная речь;Консультирование;Консультирование клиентов по телефону;Консультирование клиентов;входящие звонки;,https://almaty.hh.kz/vacancy/80259290,,
