Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Переводчик с английского на казахский язык в г. Актобе,93,з/п не указана,"Манкент, Переводческое агентство",Вакансия опубликована 3 мая 2023 в Актобе,Алматы,полный день,Полная занятость,Письменный перевод;Английский язык;Перевод;Ведение переписки на иностранном языке;Устный перевод;,https://almaty.hh.kz/vacancy/80023371,,
Бухгалтер по реализации,18,з/п не указана,ТОО Sheber Profi,Вакансия опубликована 22 мая 2023 в Актобе,"Актобе, проспект Санкибай батыра, 14/5",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80800217,,Финансы
Рекрутер (удаленно),118,от 350 000 KZT на руки,ТОО Oktrening,Вакансия опубликована 2 мая 2023 в Актобе,Алматы,удаленная работа,Полная занятость,Грамотная речь;Телефонные переговоры;Работа с большим объемом информации;Грамотность;Деловая коммуникация;Навыки презентации;Подбор сотрудников;Zoom;Оперативный поиск информации в сети Интернет;Оценка кандидатов;Массовый подбор персонала;Подбор персонала;Опытный пользователь ПК;проведение групповых интервью;,https://almaty.hh.kz/vacancy/79965829,,Менеджмент
Специалист по работе с потенциальными клиентами,40,от 200 000 до 600 000 KZT на руки,ТОО Lloyds group,Вакансия опубликована 27 мая 2023 в Актобе,Алматы,полный день,Полная занятость,Грамотная речь;Работа в команде;Навыки межличностного общения;Проведение опросов;Работа с людьми;Проведение опросов клиентов;Анкетирование;,https://almaty.hh.kz/vacancy/79106101,,
Электрик,143,з/п не указана,ТОО Alina Group,Вакансия опубликована 22 мая 2023 в Актобе,"Актобе, 41-й разъезд",сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/80786879,,Сервисное обслуживание/производство
Территориальный агент Beeline,40,от 100 000 до 200 000 KZT на руки,"Beeline, ТМ",Вакансия опубликована 19 мая 2023 в Актобе,Алматы,полный день,Частичная занятость,Поиск и привлечение клиентов;Консультация клиентов;Грамотная речь;,https://almaty.hh.kz/vacancy/78084846,,
Фельдшер,64,от 120 000 до 130 000 KZT на руки,ТОО ТЕМІРЖОЛ ЖӨНДЕУ,Вакансия опубликована 3 мая 2023 в Актобе,"Актобе, 41-й разъезд",Вахтовый метод,Полная занятость,Практическая медицина;,https://almaty.hh.kz/vacancy/80070621,,Медицина
Тайный покупатель,40,з/п не указана,ТОО Staff-UP Consulting Group,Вакансия опубликована 10 мая 2023 в Актобе,Алматы,полный день,Проектная работа/разовое задание,Пользователь ПК;Телефонные переговоры;Ответственность;Аудит;Умение принимать решения;,https://almaty.hh.kz/vacancy/80239877,,
Специалист по качеству Поиска со знанием казахского языка,40,от 30 000 руб. на руки,Яндекс Крауд,Вакансия опубликована 25 мая 2023 в Актобе,Алматы,удаленная работа,Частичная занятость,E9,https://almaty.hh.kz/vacancy/79890400,,
Мастер по замене автостёкол,40,от 175 000 KZT на руки,ИП Болтышев А.В.,Вакансия опубликована 27 мая 2023 в Актобе,"Актобе, проспект 312-й Стрелковой Дивизии, 24",полный день,Полная занятость,Грамотная речь;Работа в команде;Ориентация на результат;,https://almaty.hh.kz/vacancy/81135056,,
Менеджер отдела продаж розничных продуктов,40,з/п не указана,АО Jusan Bank,Вакансия опубликована 12 мая 2023 в Актобе,Алматы,полный день,Полная занятость,Пользователь ПК;Работа в команде;Грамотная речь;Навыки продаж;Активные продажи;,https://almaty.hh.kz/vacancy/80329528,,
Бухгалтер по работе с банком,18,от 100 000 до 150 000 KZT на руки,ТОО Prof Service,Вакансия опубликована 18 мая 2023 в Актобе,"Актобе, микрорайон Батыс-2, 5Д",полный день,Полная занятость,Валютные платежи;Платежные поручения;Работа с оргтехникой;,https://almaty.hh.kz/vacancy/80668194,,Финансы
Бухгалтер,18,от 150 000 до 150 000 KZT на руки,ТОО Grand Кондитер,Вакансия опубликована 11 мая 2023 в Актобе,"Актобе, улица Аз Наурыз",полный день,Полная занятость,Ревизия финансово-хозяйственной деятельности компании;,https://almaty.hh.kz/vacancy/80273120,,Финансы
