Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Координатор промо активностей в г. Усть-Каменогорск,71,з/п не указана,не требуется,ТОО Pro Triniti,Вакансия опубликована 26 мая 2023 в Усть-Каменогорске,Алматы,гибкий график,"Частичная занятость, гибкий график",Работа в команде;Организаторские навыки;Проведение промо акций;Подбор персонала;Документальное сопровождение;Контроль работы промоутеров;Многозадачность;Подбор сотрудников;Закупка рекламных материалов;Деловая коммуникация;Организация промо акций;Умение планировать;Отчетность;,https://almaty.hh.kz/vacancy/79969134
Помощник / помощница технолога в приготовлении сыров,40,з/п не указана,не требуется,ИП Кривопалова А.Н,Вакансия опубликована 12 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, Элеваторная улица, 21",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80376987
Cторчекер / Тайный покупатель,40,от 30 000 до 100 000 KZT на руки,не требуется,ТОО Филиал GVG DANIŞMANLIK ANONIM ŞİRKETİ (Джи Ви Джи Данышманлык Аноним Ширкети),Вакансия опубликована 11 мая 2023 в Усть-Каменогорске,Алматы,гибкий график,"Частичная занятость, гибкий график",E9,https://almaty.hh.kz/vacancy/80304188
Администратор регистратуры,8,от 200 000 KZT до вычета налогов,не требуется,ТОО АЛТЫНСТОМ,Вакансия опубликована 21 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",Деловая коммуникация;Пользователь ПК;Грамотная речь;Коммуникация;Продуктивность;Умение работать с людьми;Способность работать с документами;,https://almaty.hh.kz/vacancy/80779278
Администратор,8,от 120 000 KZT на руки,не требуется,ИП AQUA BABY,Вакансия опубликована 15 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Сагадата Нурмагамбетова, 42/1",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80405086
Оператор упаковки/расфасовки молочной продукции,85,от 220 000 KZT до вычета налогов,не требуется,ТОО Корпорация Восток-Молоко,Вакансия опубликована 11 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, Самарское шоссе, 5",сменный график,"Полная занятость, сменный график",Пользователь ПК;Internet;Google Chrome;Материальная ответственность;,https://almaty.hh.kz/vacancy/80270651
Фармацевт склада,133,з/п не указана,не требуется,ТОО АлтайМедика,Вакансия опубликована 24 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80940184
Электромонтер,143,от 230 000 до 400 000 KZT на руки,не требуется,ТОО Drive Industrial Systems,Вакансия опубликована 17 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день","Чтение электросхем;Работа с электроинструментом;Коммуникабельность, ответственность;Умение работать в команде;Электромонтажные работы;Монтаж оборудования;",https://almaty.hh.kz/vacancy/80618741
Оператор 1С,113,до 185 000 KZT до вычета налогов,не требуется,ТОО МФО Береке,Вакансия опубликована 26 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",Оператор ПК;Грамотность;Офисная техника;Знание MS Office;1С: Документооборот;Работа с существующей базой клиентов;Быстрая скорость печати;,https://almaty.hh.kz/vacancy/81081160
Вахтер,40,от 45 000 KZT до вычета налогов,не требуется,ТОО Вектор Про (ТМ Мир дерева),Вакансия опубликована 19 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Михаила Чистякова, 11",сменный график,"Частичная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80706653
Оператор на аттракционы,40,з/п не указана,не требуется,ИП Никипелов С.С.,Вакансия опубликована 12 мая 2023 в Усть-Каменогорске,Усть-Каменогорск,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80352207
