Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Мерчендайзер,77,от 80 000 до 80 000 KZT на руки,ТОО Масло-Дел,Вакансия опубликована 15 мая 2023 в Караганде,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80408662,,
Водитель-курьер ( на личном автомобиле),129,з/п не указана,"Lamoda.kz (Мода с доставкой, ТОО)",Вакансия опубликована 29 мая 2023 в Караганде,"Алматы, Театр имени Ауэзова, улица Манаса, 32А",сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/70881870,,
Швея-портной,141,от 150 000 до 200 000 KZT до вычета налогов,ТОО Ак бастау KZ,Вакансия опубликована 26 мая 2023 в Караганде,"Караганда, Механическая улица, 4",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81085455,,Сервисное обслуживание/производство
Специалист отдела контроля качества,40,от 15 000 руб. на руки,Home office,Вакансия опубликована 29 мая 2023 в Караганде,"Воронеж, Ленинский район, Бакунинский переулок, 11",удаленная работа,Частичная занятость,Работа в команде;Грамотность;Организационные навыки;Удаленная работа;Русский язык;,https://almaty.hh.kz/vacancy/80768961,,
Инженер-эксперт по обследованию зданий,46,от 100 000 до 350 000 KZT на руки,ТОО QRG Standart,Вакансия опубликована 11 мая 2023 в Караганде,"Караганда, Пассажирская улица, 10",полный день,Полная занятость,Пользователь ПК;Чтение чертежей;Ведение документации;Adobe Photoshop;Строительство;разработка чертежей;,https://almaty.hh.kz/vacancy/80282165,,Сервисное обслуживание/производство
Электромонтажник,143,от 200 000 до 250 000 KZT на руки,ТОО Stroy Tech LTD,Вакансия опубликована 18 мая 2023 в Караганде,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80627730,,Сервисное обслуживание/производство
"Сотрудник ресторана (повар-кассир) в BURGER KING, Караганда",94,з/п не указана,"ТОО “QSR” ,ТМ BURGER KING",Вакансия опубликована 29 мая 2023 в Караганде,Алматы,гибкий график,Частичная занятость,Клиентоориентированность;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/79076762,,
Менеджер отдела продаж розничных продуктов,40,з/п не указана,АО Jusan Bank,Вакансия опубликована 22 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Пользователь ПК;Работа в команде;Грамотная речь;Навыки продаж;Активные продажи;,https://almaty.hh.kz/vacancy/79075486,,
Сборщик / монтажник,40,от 180 000 KZT на руки,ТОО Витрина плюс,Вакансия опубликована 29 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Работа в команде;Умение работать в коллективе;Ориентация на результат;,https://almaty.hh.kz/vacancy/81231726,,
Медицинский представитель,65,от 200 000 до 500 000 KZT на руки,ТОО Новатор Фарма,Вакансия опубликована 17 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Навыки продаж;Коммуникативные навыки;Навыки презентации;Работа в команде;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/80547530,,Медицина
Дезинфектор (Специалист по борьбе с вредителями),85,от 250 000 KZT на руки,ТОО ORKIN,Вакансия опубликована 27 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Грамотная речь;Работа с людьми;Ориентация на клиента;Способность быстро обучаться;Умение общаться с людьми;,https://almaty.hh.kz/vacancy/80017253,,Сервисное обслуживание/производство
"Специалист по земельным ресурсам, Юридическая служба",146,з/п не указана,АО АрселорМиттал Темиртау,Вакансия опубликована 16 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Знание законодательства;Земельное право;Землепользование;Деловая переписка;,https://almaty.hh.kz/vacancy/80484075,,
Қолдау қызметінің маманы,121,от 140 000 KZT на руки,ТОО WOOPPAY,Вакансия опубликована 2 мая 2023 в Караганде,"Караганда, проспект Нурсултана Назарбаева, 15/1",гибкий график,Полная занятость,Работа с компьютером;Умение работать в условиях многозадачности;Инициативность;Ответственность;Умение работать с большим объёмом информации;Телефонные переговоры;Быстрый набор текста;Казахский — C1 — Продвинутый;,https://almaty.hh.kz/vacancy/79993320,,
Торговый представитель,129,з/п не указана,ТОО ФУД АЛЬЯНС,Вакансия опубликована 15 мая 2023 в Караганде,Алматы,полный день,Полная занятость,HoReCa;Проведение промо акций;Работа с дебиторской задолженностью;Холодные продажи;Традиционная розница;,https://almaty.hh.kz/vacancy/76535832,,
Бренд-менеджер (Brand/Product manager) по продвижению эксклюзивной продукции,68,з/п не указана,ТОО Аманат,Вакансия опубликована 19 мая 2023 в Караганде,"Караганда, проспект Сакена Сейфуллина 107/3",полный день,Полная занятость,Trade Marketing;Бренд-менеджмент;Маркетинговое планирование;ATL;Медиапланирование;Бизнес-планирование;Планирование маркетинговых кампаний;Стратегический маркетинг;Позиционирование бренда;Развитие бренда;Брендинг;Продвижение бренда;Проведение презентаций;Подготовка презентаций;Обучение персонала;Разработка маркетинговой стратегии;Размещение POS материалов;Маркетинговый анализ;Работа с opinion лидерами в социальных сетях;Ребрендинг;Аналитические исследования;Бизнес-анализ;Разработка нового продукта;Анализ конкурентной среды;,https://almaty.hh.kz/vacancy/76640573,,Менеджмент
Представитель по бренду Алтайские травы (аптечный сегмент) в г. Караганда,65,от 140 000 до 310 000 KZT на руки,ТОО Аманат,Вакансия опубликована 23 мая 2023 в Караганде,"Караганда, проспект Сакена Сейфуллина 107/3",полный день,Полная занятость,Активные продажи;Проведение презентаций;Ведение переговоров;Планирование продаж;Грамотная речь;Ориентация на результат;умение вести диалог;Работа с возражениями;Управление отношениями с клиентами;Ведение отчетности;Выявление потребностей;,https://almaty.hh.kz/vacancy/80867420,,Медицина
Специалист по качеству Поиска со знанием казахского языка,40,от 30 000 руб. на руки,Яндекс Крауд,Вакансия опубликована 25 мая 2023 в Караганде,Алматы,удаленная работа,Частичная занятость,E9,https://almaty.hh.kz/vacancy/79890394,,
Санитарка/санитар,40,з/п не указана,"ТОО Олимп КДЛ, ТМ (ТОО Мырза Хан)",Вакансия опубликована 22 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Умение работать в команде;Точность и внимательность к деталям;,https://almaty.hh.kz/vacancy/80823487,,
Младший горный инженер (стажер),40,з/п не указана,ТОО Sary-Arka Copper Processing,Вакансия опубликована 28 мая 2023 в Караганде,"Алматы, проспект Достык, 104",Вахтовый метод,Стажировка,Работа в команде;Деловое общение;MS PowerPoint;Micromine;Производственное планирование;,https://almaty.hh.kz/vacancy/80704982,,
Аппаратчик химводоочистки,40,з/п не указана,"Евразиан Фудс Корпорэйшн, АО",Вакансия опубликована 18 мая 2023 в Караганде,"Караганда, Бытовая улица, 20А",полный день,Полная занятость,Ответственный подход к работе;Умение работать в коллективе;Техническая подкованность;,https://almaty.hh.kz/vacancy/80624432,,
Бухгалтер,18,от 180 000 KZT до вычета налогов,ТОО Гелиос,Вакансия опубликована 2 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Движение денежных средств;Материальная ответственность;Пользователь ПК;Бухгалтерская отчетность;Кассовые операции;,https://almaty.hh.kz/vacancy/79990683,,Финансы
CAD/CAM оператор / зубной техник,40,з/п не указана,Центр дентальной имплантологии БАБТА (ИП Досжанов Б.О.),Вакансия опубликована 2 мая 2023 в Караганде,"Караганда, проспект Бухар жырау, 94",гибкий график,Частичная занятость,Пользователь ПК;Чистоплотность;Работа с ПК;Ответственность;Навыки составления отчетности;,https://almaty.hh.kz/vacancy/79967122,,
Финансовый консультант автокредитования (Караганда),137,з/п не указана,"Евразийский банк, АО",Вакансия опубликована 20 мая 2023 в Караганде,"Караганда, проспект Нуркена Абдирова, 3/2",полный день,Полная занятость,Ориентация на клиента;Пользователь ПК;оформление документации;Продажа кредитных продуктов;Клиентоориентированность;Работа с клиентами;,https://almaty.hh.kz/vacancy/79602889,,Финансы
Кухонный работник,94,от 95 000 до 110 000 KZT на руки,ИП ШАКАБАЕВ М.Р.,Вакансия опубликована 29 мая 2023 в Караганде,"Караганда, улица Таттимбета, 10/5",сменный график,Полная занятость,"Работа в команде;Поварское дело;Работа в условиях многозадачности;умение проявлять внимание, заинтересованность, дружелюбие;",https://almaty.hh.kz/vacancy/80891023,,
Младший горный мастер,40,з/п не указана,ТОО Sary-Arka Copper Processing,Вакансия опубликована 29 мая 2023 в Караганде,Алматы,Вахтовый метод,Полная занятость,Работа в команде;Умение работать в коллективе;Охрана труда и техника безопасности;Навыки работы с первичной документацией;Навыки составления отчетности;,https://almaty.hh.kz/vacancy/80564868,,
Product Manager (специалист по продукции),73,з/п не указана,Компания Витанова,Вакансия опубликована 10 мая 2023 в Караганде,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80226323,,Менеджмент
Торговый представитель,129,от 200 000 до 280 000 KZT до вычета налогов,ТОО Компания ВладИра,Вакансия опубликована 29 мая 2023 в Караганде,"Караганда, проспект Нурсултана Назарбаева, 53/1",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80000217,,
Стажер - мастер,100,до 120 000 KZT до вычета налогов,ТОО BI Construction & Engineering (ТМ BI GROUP),Вакансия опубликована 3 мая 2023 в Караганде,Алматы,полный день,Стажировка,E9,https://almaty.hh.kz/vacancy/80043151,,
Помощник категорийного менеджера,54,от 150 000 до 195 000 KZT до вычета налогов,ТОО Людмила-KZ TM Аян,Вакансия опубликована 23 мая 2023 в Караганде,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80878298,,Менеджмент
Инспектор ЛПЦ (листо-прокатного цеха),149,от 160 000 до 180 000 KZT на руки,ТОО СЖС Казахстан ЛТД,Вакансия опубликована 24 мая 2023 в Караганде,"Темиртау, проспект Республики, 1/2, 4 этаж",сменный график,Полная занятость,Ведение отчетности;Умение работать в коллективе;,https://almaty.hh.kz/vacancy/80957152,,Сервисное обслуживание/производство
"Торговый представитель, пригород и ближняя область",129,от 290 000 до 310 000 KZT на руки,ТОО ПАКТ,Вакансия опубликована 29 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Планирование продаж;Навыки продаж;,https://almaty.hh.kz/vacancy/78064955,,
Повар,94,з/п не указана,ТОО MAGNUM. Команда магазинов/Дүкендер командасы,Вакансия опубликована 11 мая 2023 в Караганде,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80280288,,
