Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Офис-менеджер,HR и секретариат,от 103 500 тенге,ИП ЕСМАГАНБЕТОВА К.М,Вакансия опубликована 04.05.2023,Адреса нет,полный день,Проектная работа,Администрирование канцелярских и офисных принадлежностей;,https://enbek.kz/ru/vacancy/ofis-menedzher~3069686,Первое рабочее место,Менеджмент
Швея,Производство,от 103 500 тенге,ИП Куанышова Л.С.,Вакансия опубликована 02.05.2023,Адреса нет,полный день,Проектная работа,Подготовка эскизов и лекал;,https://enbek.kz/ru/vacancy/shveya~3071870,Первое рабочее место,Сервисное обслуживание/производство
SMM-менеджер,Маркетинг и СМИ,от 103 500 тенге,ИП Parasat Education,Вакансия опубликована 02.05.2023,Адреса нет,полный день,Проектная работа,Умение продвигать товары и услуги;,https://enbek.kz/ru/vacancy/smm-menedzher~3063281,Первое рабочее место,Журналистика
Дизайнер печатных изданий,Маркетинг и СМИ,от 103 500 тенге,ИП REAL MEDIA,Вакансия опубликована 01.05.2023,Адреса нет,полный день,Проектная работа,Согласование и сдача откорректированного материала;,https://enbek.kz/ru/vacancy/dizainer-pechatnykh-izdanii~3069798,Первое рабочее место,Журналистика
Швея,Производство,от 103 500 тенге,"ИП ""СәнЖан Компани""",Вакансия опубликована 28.04.2023,Адреса нет,полный день,Проектная работа,Ручное шитье;,https://enbek.kz/ru/vacancy/shveya~3069234,Молодежная практика,Сервисное обслуживание/производство
Ассистент бухгалтера,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Equipment Support""",Вакансия опубликована 28.04.2023,Адреса нет,полный день,Проектная работа,Работа в программе 1С:Бухгалтерия;,https://enbek.kz/ru/vacancy/assistent-bukhgaltera~3059860,Молодежная практика,Финансы
Учитель физики,Образование и воспитание,от 103 500 тенге,Jan-Madi,Вакансия опубликована 28.04.2023,Адреса нет,полный день,Проектная работа,Систематизация результатов физико-химического анализа;,https://enbek.kz/ru/vacancy/uchitel-fiziki~3060514,Молодежная практика,
Учитель начальных классов,Образование и воспитание,от 103 500 тенге,Jan-Madi,Вакансия опубликована 28.04.2023,Адреса нет,полный день,Проектная работа,Проведение занятия для творческого развития детей;,https://enbek.kz/ru/vacancy/uchitel-nachalnykh-klassov~3060515,Молодежная практика,
Учитель математики (алгебра и геометрия),Образование и воспитание,от 103 500 тенге,Jan-Madi,Вакансия опубликована 28.04.2023,Адреса нет,полный день,Проектная работа,Описание информационных и математических моделей;,https://enbek.kz/ru/vacancy/uchitel-matematiki-(algebra-i-geometriya)~3060516,Молодежная практика,
Учитель информатики,Образование и воспитание,от 103 500 тенге,Jan-Madi,Вакансия опубликована 28.04.2023,Адреса нет,полный день,Проектная работа,Развитие творческих способностей учащихся;,https://enbek.kz/ru/vacancy/uchitel-informatiki~3060517,Молодежная практика,
Учитель биологии,Образование и воспитание,от 103 500 тенге,Jan-Madi,Вакансия опубликована 28.04.2023,Адреса нет,полный день,Проектная работа,Систематизация результатов физико-химического анализа;,https://enbek.kz/ru/vacancy/uchitel-biologii~3060518,Молодежная практика,
Ассистент бухгалтера,Финансы и бухучет,от 103 500 тенге,"Государственное учреждение ""Управление по вопросам молодежной политики Мангистауской области""",Вакансия опубликована 27.04.2023,Адреса нет,полный день,Проектная работа,Работа в программе 1С:Бухгалтерия;,https://enbek.kz/ru/vacancy/assistent-bukhgaltera~3058903,Молодежная практика,Финансы
Менеджер здравоохранения,Медицина и фармацевтика,от 103 500 тенге,"""Melek"" Language Center",Вакансия опубликована 27.04.2023,Адреса нет,полный день,Проектная работа,Профилактическая и санитарно-просветительская работа по пропаганде здорового образа жизни;,https://enbek.kz/ru/vacancy/menedzher-zdravookhraneniya~3059392,Молодежная практика,Медицина
Медицинская(ий) сестра/брат,Медицина и фармацевтика,от 103 500 тенге,"""Melek"" Language Center",Вакансия опубликована 27.04.2023,Адреса нет,полный день,Проектная работа,Оказание первой медицинской помощи;,https://enbek.kz/ru/vacancy/medicinskaya(ii)-sestra-brat~3059393,Молодежная практика,Медицина
