Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Оператор Пульта Централизированного Наблюдения,85,от 120 000 KZT на руки,ТОО СОБР Юг Security,Вакансия опубликована 25 мая 2023 в Шымкенте,"Шымкент, микрорайон Восток, 107/1",сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/80997811,,Сервисное обслуживание/производство
Пешеход-исследователь для Яндекс Карт,40,от 20 000 до 45 000 руб. на руки,Яндекс Крауд,Вакансия опубликована 25 мая 2023 в Шымкенте,Алматы,гибкий график,Частичная занятость,E9,https://almaty.hh.kz/vacancy/78689984,,
Менеджер по работе с клиентами,40,от 70 000 до 200 000 KZT на руки,ИП NurAli,Вакансия опубликована 1 мая 2023 в Шымкенте,Шымкент,полный день,Полная занятость,работа с текущей базой клиентов;Работа с клиентами;Вежливость;,https://almaty.hh.kz/vacancy/79953461,,
Торговый представитель,40,от 150 000 до 200 000 KZT на руки,ТОО NOVA-Я,Вакансия опубликована 22 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,Умение находить общий язык с людьми;Работа с людьми;Проведение опросов клиентов;,https://almaty.hh.kz/vacancy/80831603,,
Торговый представитель,129,з/п не указана,"Радуга, ТОО (Компания Raduga KDR)",Вакансия опубликована 11 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,Пользователь ПК;Умение работать в команде;Навыки работы с возражениями;Навыки презентации;Работа с существующей базой клиентов;Казахский — A1 — Начальный;Русский — A1 — Начальный;,https://almaty.hh.kz/vacancy/80296192,,
"Менеджер оценщик (Ломбард/МФО, темірлан Ауылына)",137,от 150 000 до 200 000 KZT до вычета налогов,ТОО МФО LFTech (ТМ Деньги Маркет),Вакансия опубликована 19 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80689283,,Финансы
Исследователь Яндекс Карт,40,от 20 000 до 45 000 руб. на руки,Яндекс Крауд,Вакансия опубликована 25 мая 2023 в Шымкенте,Алматы,гибкий график,Частичная занятость,E9,https://almaty.hh.kz/vacancy/78689721,,
"Торговый представитель (направление Детство), г. Шымкент",129,от 150 000 до 350 000 KZT на руки,ТОО Аманат,Вакансия опубликована 3 мая 2023 в Шымкенте,"Шымкент, улица Алдиярова, 76",полный день,Полная занятость,Работа в команде;Ведение переговоров;Проведение презентаций;Организация мероприятий;Деловое общение;,https://almaty.hh.kz/vacancy/80023764,,
Специалист отдела контроля качества,40,от 15 000 руб. на руки,Home office,Вакансия опубликована 28 мая 2023 в Шымкенте,"Воронеж, Ленинский район, Бакунинский переулок, 11",удаленная работа,Частичная занятость,Работа в команде;Грамотность;Организационные навыки;Удаленная работа;Русский язык;,https://almaty.hh.kz/vacancy/80501704,,
Техничка/Техник,40,з/п не указана,ТОО ФЕНИКС ИНТЕРНЕШНЛ РЕСОРСИЗ КАСПИАН,Вакансия опубликована 25 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81043231,,
Менеджер чат поддержки,121,от 100 000 KZT на руки,ТОО СЕЙЛЗ ЭНД СЕРВИС,Вакансия опубликована 24 мая 2023 в Шымкенте,"Шымкент, проспект Абая, 4В",сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/79653816,,
Специалист по сбору данных для Яндекс Карт,40,от 20 000 до 45 000 руб. на руки,Яндекс Крауд,Вакансия опубликована 16 мая 2023 в Шымкенте,Алматы,гибкий график,Частичная занятость,E9,https://almaty.hh.kz/vacancy/80482538,,
Заправщик АЗС,40,от 70 000 до 71 000 KZT на руки,ИП Нурлан,Вакансия опубликована 28 мая 2023 в Шымкенте,Туркестанская область,сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/80180491,,
Торговый представитель отдела продаж Хорика,129,от 150 000 до 300 000 KZT до вычета налогов,ТОО ИНОСТРАННОЕ ПРЕДПРИЯТИЕ КОМПАНИЯ МАОЛИН,Вакансия опубликована 23 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80899873,,
Банк саласы,40,от 150 000 до 300 000 KZT на руки,ТОО Капитал - Надзор,Вакансия опубликована 29 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,Пользователь ПК;Internet;Телефонные переговоры;Работа в команде;,https://almaty.hh.kz/vacancy/80018707,,
Мясник-обвальщик,40,з/п не указана,ТОО MAGNUM. Защита активов и предотвращение потерь/Активтерді қорғау және шығындарды болдырмау,Вакансия опубликована 16 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80498365,,
