Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Химик (общий профиль),Наука и консалтинг,от 103 500 тенге,"Республиканское государственное учреждение ""Департамент экологии по Восточно-Казахстанской области Комитета экологического регулирования и контроля Министерства экологии, геологии и природных ресурсов Республики Казахстан""",Вакансия опубликована 21.02.2023,Адреса нет,полный день,Проектная работа,Контроль качества на основе органолептических и физико-химических методов  анализа;,https://enbek.kz/ru/vacancy/khimik-(obshchii-profil)~2933374,Молодежная практика,Наука
Швея,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Швейный дом ""Рассвет""",Вакансия опубликована 20.02.2023,Адреса нет,полный день,Проектная работа,"Умение определять дефекты материалов, кроя, полуфабрикатов и изделий;",https://enbek.kz/ru/vacancy/shveya~2938119,Молодежная практика,Сервисное обслуживание/производство
Модельер-конструктор,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Швейный дом ""Рассвет""",Вакансия опубликована 20.02.2023,Адреса нет,полный день,Проектная работа,Изготовление лекал;,https://enbek.kz/ru/vacancy/modeler-konstruktor~2938118,Молодежная практика,Сервисное обслуживание/производство
Швея,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Швейный дом ""Рассвет""",Вакансия опубликована 20.02.2023,Адреса нет,полный день,Проектная работа,Изготовление форм для плиссирования и гофрирования;,https://enbek.kz/ru/vacancy/shveya~2938133,Первое рабочее место,Сервисное обслуживание/производство
Швея,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Швейный дом ""Рассвет""",Вакансия опубликована 20.02.2023,Адреса нет,полный день,Проектная работа,Подготовка эскизов и лекал;,https://enbek.kz/ru/vacancy/shveya~2938137,Первое рабочее место,Сервисное обслуживание/производство
Модельер-конструктор,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Швейный дом ""Рассвет""",Вакансия опубликована 20.02.2023,Адреса нет,полный день,Проектная работа,Расчет изделия и отделочных деталей по плотности вязания;,https://enbek.kz/ru/vacancy/modeler-konstruktor~2938138,Первое рабочее место,Сервисное обслуживание/производство
Помощник юриста,Юриспруденция,от 103 500 тенге,"Государственное учреждение ""Отдел земельных отношений, архитектуры и градостроительства города Усть-Каменогорска""",Вакансия опубликована 20.02.2023,Адреса нет,полный день,Проектная работа,Анализ законодательных требований и стандартов;,https://enbek.kz/ru/vacancy/pomoshchnik-yurista~2938288,Молодежная практика,Юриспруденция
Архитектор,Строительство и архитектура,от 103 500 тенге,"Государственное учреждение ""Отдел земельных отношений, архитектуры и градостроительства города Усть-Каменогорска""",Вакансия опубликована 20.02.2023,Адреса нет,полный день,Проектная работа,Разработка проектной документации;,https://enbek.kz/ru/vacancy/arkhitektor~2938289,Молодежная практика,Строительство и архитектура
Экономист,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Arena S"" (Арена S)",Вакансия опубликована 20.02.2023,Адреса нет,полный день,Проектная работа,Финансовое планирование;,https://enbek.kz/ru/vacancy/ekonomist~2927998,Молодежная практика,Финансы
Техник-программист,IT и телекоммуникации,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Arena S"" (Арена S)",Вакансия опубликована 20.02.2023,Адреса нет,полный день,Проектная работа,"Исправление неисправностей компьютеров, периферийного оборудования и программного обеспечения;",https://enbek.kz/ru/vacancy/tekhnik-programmist~2927999,Молодежная практика,IT
Юрисконсульт,Юриспруденция,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Arena S"" (Арена S)",Вакансия опубликована 20.02.2023,Адреса нет,полный день,Проектная работа,Оказание правовой помощи в составлении юридических документов;,https://enbek.kz/ru/vacancy/yuriskonsult~2928000,Молодежная практика,Юриспруденция
Делопроизводитель,HR и секретариат,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Arena S"" (Арена S)",Вакансия опубликована 20.02.2023,Адреса нет,полный день,Проектная работа,Регистрация входящей и исходящей информации;,https://enbek.kz/ru/vacancy/deloproizvoditel~2928004,Первое рабочее место,Менеджмент
Воспитатель,Образование и воспитание,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Детский сад-ясли ""Бөбек""",Вакансия опубликована 20.02.2023,Адреса нет,полный день,Проектная работа,Проведение воспитательных мероприятий;,https://enbek.kz/ru/vacancy/vospitatel~2930637,Первое рабочее место,
Воспитатель,Образование и воспитание,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Детский сад-ясли ""Бөбек""",Вакансия опубликована 20.02.2023,Адреса нет,полный день,Проектная работа,"Сотрудничество с родителями, социальными партнерами;",https://enbek.kz/ru/vacancy/vospitatel~2930728,Молодежная практика,
Секретарь,HR и секретариат,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""ДАНЕЛ""",Вакансия опубликована 17.02.2023,Адреса нет,полный день,Проектная работа,"Учет и хранение, передача документов в подразделения;",https://enbek.kz/ru/vacancy/sekretar~2926617,Первое рабочее место,Менеджмент
SMM-менеджер,Маркетинг и СМИ,от 103 500 тенге,"Товарищество с ограниченной ответственностью Учебный центр ""Практикум""",Вакансия опубликована 16.02.2023,Адреса нет,полный день,Проектная работа,"Информирование о маркетинговых акциях, продуктах и специальных предложений;",https://enbek.kz/ru/vacancy/smm-menedzher~2933696,Молодежная практика,Журналистика
Эколог,Наука и консалтинг,от 103 500 тенге,"Республиканское государственное учреждение ""Департамент экологии по Восточно-Казахстанской области Комитета экологического регулирования и контроля Министерства экологии, геологии и природных ресурсов Республики Казахстан""",Вакансия опубликована 16.02.2023,Адреса нет,полный день,Проектная работа,"Проведение лекций, бесед, выступлений в организациях по экологической тематике;",https://enbek.kz/ru/vacancy/ekolog~2933376,Молодежная практика,Наука
Юрист,Юриспруденция,от 103 500 тенге,"Республиканское государственное учреждение ""Департамент санитарно-эпидемиологического контроля Восточно-Казахстанской области Комитета санитарно-эпидемиологического контроля Министерства здравоохранения Республики Казахстан""",Вакансия опубликована 16.02.2023,Адреса нет,полный день,Проектная работа,Рассмотрение жалоб и претензий по спорным вопросам;,https://enbek.kz/ru/vacancy/yurist~2922050,Молодежная практика,Юриспруденция
Биотехнолог,Медицина и фармацевтика,от 103 500 тенге,"Республиканское государственное учреждение ""Департамент санитарно-эпидемиологического контроля Восточно-Казахстанской области Комитета санитарно-эпидемиологического контроля Министерства здравоохранения Республики Казахстан""",Вакансия опубликована 16.02.2023,Адреса нет,полный день,Проектная работа,Контроль за соблюдением санитарных норм;,https://enbek.kz/ru/vacancy/biotekhnolog~2922051,Молодежная практика,Медицина
Медицинская(ий) сестра/брат общей практики,Медицина и фармацевтика,от 103 500 тенге,"Республиканское государственное учреждение ""Департамент санитарно-эпидемиологического контроля Восточно-Казахстанской области Комитета санитарно-эпидемиологического контроля Министерства здравоохранения Республики Казахстан""",Вакансия опубликована 16.02.2023,Адреса нет,полный день,Проектная работа,Сестринский уход;,https://enbek.kz/ru/vacancy/medicinskaya(ii)-sestra-brat-obshchei-praktiki~2922053,Молодежная практика,Медицина
