Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Детский психолог,Образование и воспитание,от 103 500 тенге,ИП  ЖАКСЫМБЕТОВ  Ж.А.,Вакансия опубликована 02.03.2023,Адреса нет,полный день,Проектная работа,Определение психотипа клиента по вербальным и невербальным признакам;,https://enbek.kz/ru/vacancy/detskii-psikholog~2957133,Молодежная практика,
Учитель математики (алгебра и геометрия),Образование и воспитание,от 103 500 тенге,ИП  ЖАКСЫМБЕТОВ  Ж.А.,Вакансия опубликована 02.03.2023,Адреса нет,полный день,Проектная работа,Работа с обучаемыми;,https://enbek.kz/ru/vacancy/uchitel-matematiki-(algebra-i-geometriya)~2957134,Молодежная практика,
Учитель начальных классов,Образование и воспитание,от 103 500 тенге,ИП  ЖАКСЫМБЕТОВ  Ж.А.,Вакансия опубликована 02.03.2023,Адреса нет,полный день,Проектная работа,Работа с обучаемыми;,https://enbek.kz/ru/vacancy/uchitel-nachalnykh-klassov~2957135,Молодежная практика,
Инженер по охране труда и технике безопасности,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Уральский трансформаторный завод""",Вакансия опубликована 01.03.2023,Адреса нет,полный день,Проектная работа,Проведение инструктажей по технике безопасности;,https://enbek.kz/ru/vacancy/inzhener-po-okhrane-truda-i-tekhnike-bezopasnosti~2959793,Молодежная практика,Сервисное обслуживание/производство
Юрист,Юриспруденция,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Уральский трансформаторный завод""",Вакансия опубликована 01.03.2023,Адреса нет,полный день,Проектная работа,"Регистрация юридических лиц, эмиссий ценных акций;",https://enbek.kz/ru/vacancy/yurist~2959792,Молодежная практика,Юриспруденция
Филолог,Маркетинг и СМИ,от 103 500 тенге,"Государственное учреждение ""Отдел образования города Уральск управления образования акимата Западно-Казахстанской области""",Вакансия опубликована 28.02.2023,Адреса нет,полный день,Проектная работа,Редактирование и исправление переведенного материала;,https://enbek.kz/ru/vacancy/filolog~2956922,Молодежная практика,Журналистика
Инженер-технолог (общий профиль),Производство,от 103 500 тенге,"Акционерное общество ""Западно-Казахстанская машиностроительная компания""",Вакансия опубликована 21.02.2023,Адреса нет,полный день,Проектная работа,Администрирование техпроцессов производства;,https://enbek.kz/ru/vacancy/inzhener-tekhnolog-(obshchii-profil)~2932012,Молодежная практика,Сервисное обслуживание/производство
Бухгалтер,Финансы и бухучет,от 103 500 тенге,Товарищество с ограниченной ответственностью «NURBERGEN Health Resort»,Вакансия опубликована 16.02.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~2933188,Молодежная практика,Финансы
Медицинская(ий) сестра/брат,Медицина и фармацевтика,от 103 500 тенге,Товарищество с ограниченной ответственностью «NURBERGEN Health Resort»,Вакансия опубликована 16.02.2023,Адреса нет,полный день,Проектная работа,Сестринский уход;,https://enbek.kz/ru/vacancy/medicinskaya(ii)-sestra-brat~2933187,Молодежная практика,Медицина
Менеджер по сертификации,Производство,от 103 500 тенге,"Акционерное общество ""Западно-Казахстанская машиностроительная компания""",Вакансия опубликована 16.02.2023,Адреса нет,полный день,Проектная работа,Маркетинговая деятельность;,https://enbek.kz/ru/vacancy/menedzher-po-sertifikacii~2932013,Молодежная практика,Сервисное обслуживание/производство
Ассистент (общий профиль),HR и секретариат,от 103 500 тенге,"Государственное учреждение ""Аппарат акима города Уральска""",Вакансия опубликована 15.02.2023,Адреса нет,полный день,Проектная работа,Ведение делопроизводства;,https://enbek.kz/ru/vacancy/assistent-(obshchii-profil)~2929635,Молодежная практика,Менеджмент
Техник-программист,IT и телекоммуникации,от 103 500 тенге,"Государственное учреждение ""Аппарат акима города Уральска""",Вакансия опубликована 15.02.2023,Адреса нет,полный день,Проектная работа,Проведение технического обслуживания оборудования;,https://enbek.kz/ru/vacancy/tekhnik-programmist~2929636,Молодежная практика,IT
Архивариус,HR и секретариат,от 103 500 тенге,"Государственное учреждение ""Аппарат акима города Уральска""",Вакансия опубликована 15.02.2023,Адреса нет,полный день,Проектная работа,Работа с архивом;,https://enbek.kz/ru/vacancy/arkhivarius~2929637,Молодежная практика,Менеджмент
Юрист,Юриспруденция,от 103 500 тенге,"Государственное учреждение ""Аппарат акима города Уральска""",Вакансия опубликована 15.02.2023,Адреса нет,полный день,Проектная работа,Ведение и составление документов;,https://enbek.kz/ru/vacancy/yurist~2929638,Молодежная практика,Юриспруденция
Юрист,Юриспруденция,от 103 500 тенге,"Республиканское государственное учреждение «Департамент Судебной администрации Республики Казахстан по Западно-Казахстанской области""",Вакансия опубликована 15.02.2023,Адреса нет,полный день,Проектная работа,Рассмотрение жалоб и претензий по спорным вопросам;,https://enbek.kz/ru/vacancy/yurist~2929173,Молодежная практика,Юриспруденция
Инженер по компьютерам,IT и телекоммуникации,от 103 500 тенге,"""Западно-Казахстанский производственный филиал акционерного общества ""КазТрансГазАймақ""",Вакансия опубликована 13.02.2023,Адреса нет,полный день,Проектная работа,Мониторинг и исправление неисправностей компьютерных систем и комплексов;,https://enbek.kz/ru/vacancy/inzhener-po-kompyuteram~2924274,Молодежная практика,IT
Ассистент бухгалтера,Финансы и бухучет,от 103 500 тенге,"""Западно-Казахстанский производственный филиал акционерного общества ""КазТрансГазАймақ""",Вакансия опубликована 13.02.2023,Адреса нет,полный день,Проектная работа,Работа в программе 1С:Бухгалтерия;,https://enbek.kz/ru/vacancy/assistent-bukhgaltera~2924275,Молодежная практика,Финансы
Помощник инженера нефтегазового дела,"Нефть, газ, добыча ресурсов",от 103 500 тенге,"""Западно-Казахстанский производственный филиал акционерного общества ""КазТрансГазАймақ""",Вакансия опубликована 13.02.2023,Адреса нет,полный день,Проектная работа,Поддержание тех.режима работы нефтегазопромысловых объектов;,https://enbek.kz/ru/vacancy/pomoshchnik-inzhenera-neftegazovogo-dela~2924276,Молодежная практика,
Архивариус,HR и секретариат,от 103 500 тенге,"""Западно-Казахстанский производственный филиал акционерного общества ""КазТрансГазАймақ""",Вакансия опубликована 13.02.2023,Адреса нет,полный день,Проектная работа,Работа с архивом;,https://enbek.kz/ru/vacancy/arkhivarius~2924278,Молодежная практика,Менеджмент
Учитель иностранного языка,Образование и воспитание,от 91 890 тенге,"Государственное коммунальное казенное предприятие ""Центр внешкольной работы"" отдела образования города Уральск управления образования акимата Западно-Казахстанской области""",Вакансия опубликована 08.02.2023,Адреса нет,полный день,Проектная работа,Владение современными технологиями и методиками преподавания;,https://enbek.kz/ru/vacancy/uchitel-inostrannogo-yazyka~2916672,Молодежная практика,
Маркетолог,Маркетинг и СМИ,от 103 500 тенге,ИП SPORTS TIME,Вакансия опубликована 08.02.2023,Адреса нет,полный день,Проектная работа,Проведение переговоров и формирование коммерческих документов и соглашений;,https://enbek.kz/ru/vacancy/marketolog~2903453,Молодежная практика,Журналистика
Инженер-конструктор,Производство,от 103 500 тенге,"Акционерное общество ""Западно-Казахстанская машиностроительная компания""",Вакансия опубликована 07.02.2023,Адреса нет,полный день,Проектная работа,Разработка технического задания на модернизацию оборудования;,https://enbek.kz/ru/vacancy/inzhener-konstruktor~2910466,Молодежная практика,Сервисное обслуживание/производство
